15,100
27,100
48,0
37,100
18,100
25,100
45,100
24,100
56,100
64,100
34,0
50,100
44,0
64,100
20,0
37,100
50,100
45,100
47,100
60,100
20,100
56,100
57,100
63,0
29,100
25,100
38,100
34,100
71,100
33,0
30,100
49,100
41,0
41,100
33,100
26,100
44,0
79,0
57,100
39,0
43,0
60,0
47,100
64,0
49,100
65,0
63,100
61,100
25,100
48,100
52,0
25,100
36,100
60,0
41,100
32,100
78,0
36,100
20,100
56,100
19,100
35,100
56,0
71,0
59,100
79,0
40,0
42,0
44,100
58,0
44,100
17,100
42,100
68,0
52,0
40,100
21,100
70,0
21,100
43,100
65,0
34,100
31,100
28,100
51,100
36,100
51,100
19,100
33,100
43,100
36,100
19,100
69,0
25,100
34,100
16,100
35,0
58,100
76,100
33,100
