21,0
26,100
25,100
36,0
23,100
20,100
22,0
25,100
53,0
21,0
48,100
17,100
41,0
31,0
27,100
17,100
28,0
19,0
25,0
30,100
36,100
33,100
55,0
23,0
29,100
21,100
45,0
32,0
45,100
28,100
15,100
26,100
32,100
23,100
39,0
38,100
43,0
38,100
18,100
39,100
50,0
34,0
41,100
18,100
34,0
26,100
35,0
38,0
40,0
34,0
26,100
28,0
45,0
32,0
35,100
32,0
39,0
34,100
39,100
14,100
22,100
50,0
33,0
36,0
25,0
42,0
47,0
23,100
34,0
45,0
42,100
44,0
25,100
25,0
36,0
39,100
24,100
18,100
43,0
43,100
43,0
19,100
34,100
26,100
26,100
36,0
34,0
15,100
32,0
31,100
36,0
19,100
19,100
26,100
28,0
20,100
21,100
28,0
30,100
33,0
