32,0
25,0
25,0
24,100
14,100
33,0
17,100
22,0
10,100
33,0
33,0
23,0
26,100
26,0
23,100
30,0
29,0
29,0
23,100
14,0
23,100
26,0
25,100
22,0
25,0
24,0
21,100
19,100
29,0
18,100
15,100
24,0
24,0
26,0
25,0
25,100
28,0
25,0
23,0
24,100
21,100
22,100
29,0
18,100
20,0
34,0
18,100
24,0
18,0
17,100
18,0
24,0
24,100
36,0
19,0
21,100
17,100
20,0
27,0
25,100
21,0
17,0
18,0
11,0
28,0
34,0
20,100
19,0
38,0
22,0
29,100
29,100
13,100
21,0
24,100
34,0
23,100
34,0
21,0
22,0
29,0
18,0
24,100
28,0
26,0
24,0
22,0
27,0
26,100
22,100
31,100
15,100
20,0
33,0
29,100
19,100
31,0
22,100
27,0
26,0
