50,0
28,0
52,0
18,100
20,0
25,100
19,100
35,100
46,100
24,0
45,100
45,0
21,0
39,100
45,100
52,0
30,100
21,0
29,100
33,0
36,100
28,100
43,100
35,0
58,0
58,100
51,100
48,0
44,0
41,100
62,0
29,0
31,0
36,0
16,100
36,100
34,100
25,100
41,100
29,100
27,100
49,0
31,100
44,0
21,100
15,100
40,100
52,0
21,100
56,0
40,100
29,0
38,0
28,0
57,0
29,100
40,0
39,100
28,100
45,0
48,100
32,0
37,0
43,0
21,100
24,0
24,100
34,0
16,100
48,0
34,100
42,100
35,0
33,100
20,100
36,100
52,100
36,100
49,0
51,100
31,100
35,100
29,0
23,0
32,100
31,100
34,100
32,0
30,100
36,100
32,100
39,100
42,0
36,100
35,100
63,0
19,100
20,100
55,0
59,100
