17,0
19,0
21,0
19,0
18,0
17,0
12,100
16,100
15,100
18,0
23,0
16,0
20,0
21,0
18,0
22,100
17,0
24,0
18,0
21,0
16,100
20,0
19,0
16,100
22,0
21,0
19,100
22,100
20,0
20,0
21,0
22,0
16,0
20,0
20,0
14,100
18,0
19,100
20,0
18,100
14,0
19,100
22,0
24,0
18,0
14,0
19,100
22,100
15,0
18,100
19,100
26,0
24,0
19,100
16,0
20,0
14,0
22,0
19,0
20,0
14,0
21,0
23,0
20,100
15,0
26,0
19,0
21,0
22,0
18,100
18,0
19,0
21,0
18,0
21,0
25,0
19,0
20,0
22,0
14,0
21,0
13,100
21,0
22,0
16,0
22,0
20,0
23,0
17,0
21,0
19,0
16,100
18,0
18,0
22,0
20,0
21,0
19,0
25,0
11,100
